tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
883,2021-04-01 12:46:30.2130,2021-04-01 13:01:14.1730,3195,Sip Ave,40.73089709786179,-74.06391263008119,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,29983,Customer,1970,0
478,2021-04-01 12:53:06.5710,2021-04-01 13:01:04.8810,3202,Newport PATH,40.7272235,-74.03375890000001,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,41962,Customer,1970,0
912,2021-04-01 12:53:19.6980,2021-04-01 13:08:32.1170,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3202,Newport PATH,40.7272235,-74.03375890000001,42311,Customer,1970,0
717,2021-04-01 12:54:42.8200,2021-04-01 13:06:40.2790,3198,Heights Elevator,40.748715945380226,-74.04044330120088,3202,Newport PATH,40.7272235,-74.03375890000001,42812,Customer,1970,0
197,2021-04-01 13:00:05.3690,2021-04-01 13:03:23.0540,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.0431174635887,32831,Customer,1970,0
324,2021-04-01 13:09:18.8080,2021-04-01 13:14:43.6810,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3203,Hamilton Park,40.727595965999996,-74.044247311,42704,Customer,1970,0
248,2021-04-01 13:09:45.3440,2021-04-01 13:13:53.3680,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3185,City Hall,40.717732500000004,-74.04384499999999,40858,Customer,1970,0
219,2021-04-01 13:14:48.2400,2021-04-01 13:18:27.4270,3639,Harborside,40.71925170000001,-74.034234,3267,Morris Canal,40.7124188237569,-74.03852552175522,42674,Customer,1970,0
765,2021-04-01 13:19:22.6730,2021-04-01 13:32:08.0020,3210,Pershing Field,40.742677141,-74.051788633,3279,Dixon Mills,40.72163014263835,-74.04996782541275,44682,Customer,1970,0
215,2021-04-01 13:22:54.3370,2021-04-01 13:26:30.1410,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.73089709786179,-74.06391263008119,40440,Customer,1970,0
274,2021-04-01 13:25:45.8850,2021-04-01 13:30:20.5630,3280,Astor Place,40.71928220070703,-74.07126188278198,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,39421,Customer,1970,0
1086,2021-04-01 13:33:00.0060,2021-04-01 13:51:06.6540,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3203,Hamilton Park,40.727595965999996,-74.044247311,20105,Customer,1986,1
511,2021-04-01 13:34:31.2290,2021-04-01 13:43:02.6260,3203,Hamilton Park,40.727595965999996,-74.044247311,3184,Paulus Hook,40.7141454,-74.0335519,42704,Customer,1970,0
386,2021-04-01 13:43:35.2510,2021-04-01 13:50:02.0550,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3205,JC Medical Center,40.71653978099194,-74.0496379137039,47019,Customer,1970,0
732,2021-04-01 13:46:45.4100,2021-04-01 13:58:57.8440,3280,Astor Place,40.71928220070703,-74.07126188278198,3205,JC Medical Center,40.71653978099194,-74.0496379137039,48923,Customer,1970,0
363,2021-04-01 13:50:39.0190,2021-04-01 13:56:42.4090,3187,Warren St,40.721123600000006,-74.03805095,3213,Van Vorst Park,40.71848892,-74.047726625,42439,Customer,1970,0
436,2021-04-01 14:16:27.6560,2021-04-01 14:23:44.2690,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647166,-74.0431174635887,45464,Customer,1970,0
